POLLING PLACE LOCATION,POLLING PLACE ADDRESS,BLDG,PARK,ZIP,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,,,City,State,County,Zip,Country,Source
SOUTH PHILA OLDER ADULT CENTER,1430 E PASSYUNK AVE,F,L,19147,39.931666,-75.162772,1,rooftop,1430,E Passyunk Ave,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
EAST PASSYUNK COMMUNITY CENTER,1025-33 MIFFLIN ST,F,N,19148,39.926442,-75.163408,1,rooftop,1025-33,Mifflin St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
SOUTH PHILA OLDER ADULT CENTER,1430 E PASSYUNK AVE,F,L,19147,39.931666,-75.162772,1,rooftop,1430,E Passyunk Ave,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
EAST PASSYUNK COMMUNITY CENTER,1025-33 MIFFLIN ST,F,N,19148,39.926442,-75.163408,1,rooftop,1025-33,Mifflin St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
EAST PASSYUNK COMMUNITY CENTER,1025-33 MIFFLIN ST,F,N,19148,39.926442,-75.163408,1,rooftop,1025-33,Mifflin St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
FURNESS SCHOOL,1900 S 03RD ST,R,N,19148,39.923787,-75.150892,1,rooftop,1900,S 3rd St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
BOK BUILDING,1901 S 09TH ST,F,N,19148,39.925209,-75.160083,1,rooftop,1901,S 9th St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
EAST PASSYUNK COMMUNITY CENTER,1025-33 MIFFLIN ST,F,N,19148,39.926442,-75.163408,1,rooftop,1025-33,Mifflin St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
EAST PASSYUNK COMMUNITY CENTER,1025-33 MIFFLIN ST,F,N,19148,39.926442,-75.163408,1,rooftop,1025-33,Mifflin St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
SOUTH PHILA OLDER ADULT CENTER,1430 E PASSYUNK AVE,F,L,19147,39.931666,-75.162772,1,rooftop,1430,E Passyunk Ave,,,Philadelphia,PA,Philadelphia County,19147,US,Philadelphia
